PDF Templates,قوالب PDF
Error while saving account. Please check all required fields,خطأ أثناء حفظ الحساب . يرجى المحاولة مرة أخرى لاحقاً,
Error while saving account. Please try again later,خطاء اثناء حفظ الحساب. يرجى المحاولة لاحقا,
Error while saving this configuration:,خطأ أثناء حفط هذا الإعداد:,
Error while saving this role. Please try again later.,خطاء اثناء حفظ هذا الدور. يرجى المحاولة لاحقا.,
Error while updating selected review(s). Please try again later.,خطا اثناء تحديث استعراض مختارة . يرجى اعادة المحاوله لاحقا.,
Excl. Tax,الضرائب الغير مشملولة,
Exclude,عدم اظهار,
Exclude (comma separated),استبعاد (مفصوله بفواصل),
Expiration Date,تاريخ انتهاء الصلاحية,
Expiration Date: %s/%s,تاريخ انتهاء الصلاحية: %s/%s,
Export,تصدير,
Export CSV,تصدير إلى ملف CSV,
Export Filters,فلاتر التصدير,
Export to:,تصدر الى:,
Export:,تصدير:,
Extension,تطبيق,
Extension Name,اسم التطبيق,
Extensions,التطبيقات,
FTP Host[:Port],استضافة FTP [:منفذ],
"Failed to add a product to cart by id ""%s""","فشل في إضافة المنتج إلى سلة التسوق بالرقم المعرف ""%s""",
Failed to load %1$s.xml or %1$s.ser,فشل في تحميل %1$s.xml أو%1$s.ser,
Field,حقل,
Field Mapping,مجال رسم الخرائط,
File,ملف,
File Information,معلومات الملف,
File name:,اسم الملف:,
File size should be more than 0 bytes,حجم الملف يجب ان يكون اكبر من  0 بايت,
Final Price,السعر النهائي,
Finished items creation.,إنهاء بنود الإنشاء,
Finished profile execution.,انهاء تنفيذ الملف التعريفي,
First Name,الاسم الاول,
First Name:,الاسم الاول:,
Firstname,الاسم الاول,
Fixed,ثابت,
Flat Catalog Category rebuild error,خطأ في إعادة بناء سطح دليل التصنيفات,
Flat Catalog Category was rebuilt successfully,تم إعادة بناء سطح دليل التصنيفات بنجاح,
Flat Catalog Product rebuild error. Please try again later,خطأ في إعادة بناء سطح دليل التصنيفات . الرجاء المحاولة لاحقاً,
Flat Catalog Product was rebuilt successfully,تم إعادة بناء سطح دليل التصنيفات بنجاح,
For category,للتصنيفات,
For latest version visit: %s,آخر إصدار للزيارة : %s,
For product,للمنتجات,
Forgot your password?,نسيت كلمة السر الخاصة بك؟,
Forgot your user name or password?,نسيت كلمة السر او اسم المستخدم الخاص بك؟,
From,من,
Gb,جيكا بايت,
General Information,معلومات عامة,
General Section,قسم عام,
Get Image Base64,للحصول على صورة Base64,
Get help for this page,للحصول على مساعدة في هذه الصفحه,
Global Attribute,السمة العالمية,
Global Record Search,بحث سجل عالمي,
Global Search,بحث شامل,
Go Today,اذهب اليوم,
Google Base,قاعدة جوجل,
Google Base Items,عناصر قاعدة جوجل,
Grand Total,المجموع الكلي,
Grid (default) / List,الشبكه (افتراضي) / قائمة,
Grid only,الشبكه فقط,
Group:,مجموعة:,
Guest,ضيف,
HTTP (unsecure),HTTP (غير امن),
HTTPS (SSL),بروتوكول نقل النص التشعبي الآمن,
Help Us Keep Magento Healthy - Report All Bugs,تساعدنا على ابقاء صحيه magento -- الابلاغ عن جميع البق,
Home,المنزل,
ID,الرمز التعريفي,
ID Path,طريق الرمز التعريفي,
IP Address,عنوان الملكية الفكرية,
Ignore,تجاهل,
Image cache was cleared successfully,تم مسح الصورة المخبئة بنجاح,
Images,صور,
"Images (.gif, .jpg, .png)","صور (.gif, .jpg, .png)",
Images Cache,الصور المخزن في الذاكرة المؤقتة,
Import,استيراد,
Import Service,خدمة الاستيراد,
Import/Export,استيراد/تصدير,
Import/Export Advanced,استيراد / تصدير متقدمة,
Import/Export Profile,الاستيراد والتصدير بروفايل,
Imported <strong>%s</strong> records,السجلات <strong>%s</strong> المستوردة,
In,في,
In Database:,في قاعدة البيانات:,
In File:,في الملف:,
Inactive,عدم تفعيل,
Incl. Tax,الضرائب المشمولة,
Include,تتضمن,
Incoming Message,رسالة واردة,
Individual Item,بند منفرد,
Install,تثبيت,
Install Package File,تثبيت مجموعة ملفات,
Installed As,تثبت كا,
Installed Extension Info,تثبيت ملحق معلومات,
Installed Version,النسخه المثبتة,
"Installing $pkg, please wait...","Iتثبيت $pkg, فضلا انتظر...",
"Installing selected packages, please wait...",تركيب مجموعات مختارة ، يرجى الانتظار...,
Instant Payment Notification (IPN),لحظة دفع الأخطار (IPN),
Interactive,تفاعلي,
Interface Locale: %s,واجهة الموقع: %s,
Invalid Form Key. Please refresh the page.,مفتاح نموذج غير صالح الرجاء إعادة تحديث الصفحة,
Invalid Import Service Specified,الخدمة المحدد غير صالح الاستيراد,
Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file),بيانات غير صالة (الرجاء التحقق من )post_max_size and upload_max_filesize settings في الملف php.ini,
Invalid Secret Key. Please refresh the page.,المفتاح السري غير صالح . الرجاء تحديث الصفحة.,
Invalid URL,رابط غير صحيح,
Invalid Username or Password.,اسم مستخدم او رقم سري غير صحيح,
Invalid directory: %s,الدليل غير صحيح: %s,
Invalid file: %s,الملف غير صحيح: %s,
Invalid input data for %s => %s rate,بيانات المدخلات غير صالحة لل %s => %s rate,
Invalid input:,ادخال غير صالح:,
Invalid parrent block for this block,كتلة الأم لهذه المجموعة غير صالحة,
Invalid section value,قيمة الفرع غير صحيحة,
Invalid store value,قيمة المخزن غير صحيحة,
Invalid website value,قيمة الموقع غير صحيحة,
Inventory Stock Status,حالة مستودع المخزون,
Invoice #%s comment added,فاتورة #%s اضافة تعليق,
Invoice #%s created,فاتورة #%s انشاء,
Invoice History,تاريخ الفاتورة,
Invoice Totals,مجموع الفاتورة,
Invoice and shipment was successfully created.,تم إنشاء الفاتورة و الشحنة بنجاح,
Invoice cancel error.,خطأ في إلغاء الفاتورة,
Invoice capture error,خطأ في صورة الفاتورة,
Invoice void error,خطأ بفاتورة باطلة,
Invoice was successfully canceled.,تم إلغاءالفاتورة بنجاح.,
Invoice was successfully captured,تم مسك الفاتورة بنجاح,
Invoice was successfully created.,تم بنجاح إنشاء الفاتورة.,
Invoice was successfully voided,تم ابطال الفاتورة بنجاح,
Issue Number,عدد المشاكل,
Issuer: %s,المصدر: %s,
Items,منتجات,
Items to merge,دمج المنتجات,
Kb,كيلو بايت,
Last 24 hours,اخر 24 ساعة,
Last 5 Orders,"اخر 5 طلبات""",
Last 5 Search Terms,اخر 5 مصطلحات البحث,
Last 7 days,اخر 7 ايام,
Last Logged In (%s):,التسجيل الأخير في (%s):,
Last Logged In:,اخر تسجيل للدخول:,
Last Month,الشهر الاخير,
Last Name,الاسم الأخير,
Last Name:,الاسم الاخير:,
Lastname,الاسم الاخير,
Latest Message:,احدث رسالة,
Layered Navigation Indices,طبقات مؤشرات الاستعراض,
Layered Navigation Indices was refreshed successfully,تم تحديث طبقات مؤشرات الاستعراض بنجاح,
Layered Navigation Indices were refreshed successfully,تم تحديث طبقات مؤشرات الاستعراض وكانت بنجاح,
Layered Navigation indexing queue cancelled,تم إلغاء طبقات أرشفة رتل الاستعراض,
Layered Navigation indexing queued,طبقات الاستعراض المفهرسة بقائمة الانتظار,
Layered Navigation process queued to be killed,طبقات الاستعراض المفهرسة بقائمة الانتظار للقتل,
Leave empty to use tax identifier,ترك فارغا لاستخدام معرف الضريبة,
Level,مستوى,
License,رخصة,
License URI,رخصة موقع,
License:,رخصة:,
Lifetime Sales,عمر المبيعات,
Links,روابط,
List (default) / Grid,قائمة (افتراضي) / الشبكه,
List only,قائمة فقط,
Load Template,تحميل قالب,
Load default template,تحميل قالب افتراضي,
Load local Package,تحميل حزمة المحلية,
Loading...,تحميل...,
Local Server,نظام محلي,
Local/Remote Server,المحلية / خادم نظام,
Locale,محلي,
Log Out,تسجيل الخروج,
Log in to Admin Panel,تسجيل الدخول الى فريق الادارة,
Log into Magento Admin Page,تسجيل الدخول الى صفحة ادارة magento,
Logged in as %s,تسجيل الدخول بـ %s,
Login,تسجيل الدخول,
MAJOR,الرئيسية,
MINOR,ثانوي,
MS Excel XML,MS اكسل XML,
Excel XML,اكسل XML,
Magento Admin,Magento ادارة,
Magento Commerce - Administrative Panel,Magento التجارة -- الفريق الاداري,
Magento Connect,Magento تواصل,
Magento Connect Manager,إدارة اتصال ماجنتو,
Magento Logo,Magento شعار,
Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.,Magento هي العلامه التجارية للشركة استشاريه irubin ديسيبل varien. حقوق الطبع&copy; %s Irubin Consulting Inc.,
Magento ver. %s,إصدار ماجنتو.  %s,
Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.,Magento &trade هي العلامه التجارية للشركة استشاريه irubin ديسيبل varien. حقوق الطبع&copy; %s Irubin Consulting Inc.,
Maintainers,مشرفون,
Manage Currency Rates,إدارة أسعار العملات,
Manage Customers,ادارة العملاء,
Manage Installed Extensions,ادارة تحميل التحويلات,
Manage Ratings,ادارة التقديرات,
Manage Stores,ادارة المخازن,
Manage osCommerce Orders,إدارة طلبات osCommerce,
Manage osCommerce Profiles,إدارة الملف الشخصي لـ osCommerce,
Mapping Configuration,تعيين الإعدادات,
Matched expression,مطابقة للتعبير,
Max,الحد الاقصى,
Maximum,الحد الاقصى,
Mb,ميغا بايت,
"Media (.avi, .flv, .swf)","اعلان (.avi, .flv, .swf)",
Merge Now,دمج الآن,
Messages Inbox,الصندوق البريدي,
Min,أقل,
Minimum,الحد الادنى,
Module version conflict!,!اختلاف اصدار الوحدة,
Month,شهر,
Most Viewed Products,المنتجات الاكثر مشاهدة,
Multiple Select,اختيار متعدد,
My Account,حسابي,
N/A,غير متاح,
NOTICE,انتبه,
Name,اسم,
Name on Card,الاسم في البطاقة,
Name on the Card: %s,الاسم في البطاقة: %s,
Name:,الاسم:,
New Accounts,حسابات جديدة,
New Api Key,مفتاح Api جديد,
New Customers,عملاء جدد,
New Email Template,قالب بريد الكتروني جديد,
New Extension,تطويرة جديدة,
New Item Type,نوع المنتج الجديد,
New Password,رقم سري جديد,
New Profile,بروفايل جديد,
New Store View,مشاهدة مخزن جديد,
New System Template,نظام قالب جديد,
New Tag,وسم جديد,
New Template,قالب جديد,
New User,مستخدم جديد,
New Website,موقع جديد,
New admin password,رقم سري جديد للادارة,
Next month (hold for menu),الشهر القادم (عقد لمدة القائمة),
Next page,الصفحة التالية,
Next year (hold for menu),(ايقاف للقائمة)السنة القادمة,
No,لا,
No (price without tax),لا ( سعر بدون ضريبة).,
No Data Found,لم يتم العثور على بيانات,
No Extensions Found,لم يتم العثور على تحويلات,
No Templates Found,لم يتم العثور على قوالب,
No change,لاتغيير,
No profile,لا يوجد بروفايل,
No profile loaded...,لا يوجد تحميل بروفايل...,
No records found for this period.,لا توجد تسجيلات في هذه اللحظه.,
No records found.,لم يتم العثور على تسجيلات.,
No search keywords.,لم يتم تنفيذ اي بحث الكلمات الرئيسية.,
No search modules registered,لم يتم تنفيذ اي بحث الوحدات المسجله,
None,بلا,
Note:,ملاحظة:,
Notes,ملاحظات,
Notes:,ملاحظات:,
Number of Orders,عدد الطلبات,
Number of Use,عدد من الاستخدام,
Number of Uses,عدد من الاستخدامات,
Number of records:,عدد السجلات:,
Old rate:,معدل العمر:,
One of options row has error,خطأ في الصف الأول من الخيارات,
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","الا الخواص مع نطاق "" العالمي "" ، مساهمه نوع "" يدوي "" واستخدامها لايجاد منتج للتهيئة "" نعم "" متاحة.",
Only mapped fields,رسمها الميداني فقط,
Optional,اختياري,
Options,خيارات,
Order #%s,طلب #%s,
Order #%s (%s),طلب #%s (%s),
Order Totals,مجموع الطلب,
Order confirmation email not sent,لم يتم إرسال رسالة تأكيد الطلب,
Order confirmation email sent,تم ارسال رسالة تأكيد الطلب,
Order not longer exist,الطلب غير موجود,
Order not longer exist.,الطلب غير موجود,
Orders,طلبات,
Original Magento attribute names in first row:,Magento سمة الاسماء الاصليه في الصف الاول:,
PEAR Configuration was successfully saved,بنجاح PEAR تم حفظ تشكيل ال,
PEAR Console,PEAR مراقبة,
PEAR config,PEAR اعداد,
PHP Version,PHP نسخة ال,
Package,مجموعة,
Package %s data was successfully loaded,مجموعة %s تم تحميل البيانات بنجاح,
Package Extensions,مجموعة التحويلات,
Package File Name,اسم ملف الحزمة,
Package Info,معلومات المجموعة,
Package Information,معلومات المجموعة,
Packages,مجموعات,
Page,حقيبة,
Parent Product Thumbnail,الأم المنتج المصغره,
Passive mode,طريقة سلبية,
Password,الرقم السري,
Password Confirmation,"تشكيلة الرقم السري""",
Password:,الرقم السري:,
Path,طريق,
Path:,طريق:,
PayPal Email,بايبال البريد الالكتروني,
Payment Data Transfer (PDT),تم تحويل بيانات الدفع (PDT),
Payment method must be specified,طريقة الدفع يجب ان تكون محددة,
Pending Tags,العلامات معلقة,
Pending installation...,التثبيت معلق...,
Per Item,لكل بند,
Per Order,لكل طلب,
Percent,بالمائة,
Performed At,في أدائها,
Period,الفترة,
Permanent (301),دائم (301),
Permissions,تصريحات,
Personal Information,معلومات شخصية,
Phone:,هاتف:,
Please confirm site switching. All data that hasn't been saved will be lost.,يرجى تأكيد التحويل الموقع. جميع البيانات التي لم يتم حفظ سوف يضيع.,
Please enter 6 or more characters.,الرجاء ادخال 6 احرف او اكثر.,
Please enter a number greater than 0 in this field.,فضلا قم بادخال رقم اكبر من 0 في الحقل.,
Please enter a valid $ amount. For example $100.00.,الرجاء ادخال $ من المبلغ. فعلى سبيل المثال 100،00 $.,
Please enter a valid URL. For example http://www.example.com or www.example.com,الرجاء ادخال عنوان. فعلى سبيل المثال http://www.example.com او www.example.com,
Please enter a valid URL. http:// is required,الرجاء ادخال عنوان. http:// مطلوب,
Please enter a valid credit card number.,الرجاء ادخال رقم بطاقه الائتمان,
Please enter a valid date.,الرجاء ادخال تاريخ صحيح.,
Please enter a valid email address. For example johndoe@domain.com.,الرجاء ادخال عنوان بريد الكتروني صالح. فعلى سبيل المثال johndoe@domain.com .,
Please enter a valid number in this field.,الرجاء ادخال عدد في هذا المجال.,
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,يرجى ادخال رقم هاتف صحيح. على سبيل المثال (123) 456-7890 or 123-456-7890.,
Please enter a valid social security number. For example 123-45-6789.,الرجاء ادخال رقم الضمان الاجتماعي. على سبيل المثال 123-45-6789.,
Please enter a valid value from list,الرجاء ادخال قيمة من القائمة,
"Please enter a valid value, ex: 10,20,30",الرجاء ادخال قيمة ، مثال : 10،20،30,
Please enter a valid zip code.,الرجاء إدخال الرمز البريدي.,
Please enter a valid zip code. For example 90602 or 90602-1234.,الرجاء إدخال الرمز البريدي. فعلى سبيل المثال 90602 او 90602-1234.,
Please enter valid password.,الرجاء ادخال كلمة السر الصحيحه.,
Please fill in 'email' field.,يرجى ملء 'البريد الالكتروني' الميدان.,
Please make sure that all global admin search modules are installed and activated.,يرجى التأكد من ان جميع وحدات البحث العالمية الادارة تثبيت وتفعيل.,
Please make sure that your changes were saved before running the profile.,يرجى التأكد من ان التغييرات التي قمت بها قبل تشغيل تم توفير صورة.,
Please make sure your passwords match.,رجاء تاكد من ان الرقم السري يتطابق.,
Please select State/Province.,الرجاء اختيار الدولة / الأقليم.,
Please select a custmer,رجاء قم باختيار العميل,
Please select a store,رجاء قم باختيار المخزن,
Please select an option.,رجاء قم باختيار الميزة.,
Please select catalog searches,رجاء قم باختيار دليل البحث,
Please select customer(s),رجاء قم باختيار العميل(s),
Please select one of the above options.,رجاء قم باختيار وحده من الخيارات الموجوده في الاعلى.,
Please select one of the options.,رجاء قم باختيار وحده من الخيارات.,
Please select review(s),يرجى اختيار استعراض(s),
Please select tag(s),رجاء قم باختيار العلامة(s),
Please specify admin custom URL,الرجاء تحديد عنوان معدل من قبل المدير URL,
Please specify at least start or end date.,يرجى تحديد على الاقل بداية أو نهاية التاريخ.,
"Please use in this field only ""a-z,0-9,_"".","الرجاء استخدام في هذا المجال فقط ""a-z,0-9,_"".",
Please use letters only (a-z) in this field.,الرجاء استخدام خطابات فقط (a-z) في هذا المجال.,
Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.,الرجاء استخدام الأرقام فقط فى هذا المجال. يرجى تجنب فراغات او الشخصيات الأخرى مثل النقط أو الفواصل.,
Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,الرجاء استخدام الحروف (من الالف الى الياء الاقامة) او ارقام (0-9) الا في هذا الميدان. أي فراغات او الشخصيات الأخرى يسمح.,
Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.,الرجاء استخدام الحروف (من الالف الى الياء الاقامة) او ارقام (0-9) أو المساحات و# فقط فى هذا المجال.,
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.",الرجاء استخدام هذا الشكل حتى الآن : اليوم / الشهر / السنة. فعلى سبيل المثال 17/03/2006 للالسابع عشر من اذار / مارس ، 2006.,
"Please wait, loading...",يرجى الانتظار ، وتحميل...,
Please wait...,رجاء انتظر...,
"Please, add a few answers to this poll first",يرجى ، ان اضيف بعض الردود على هذا الاستطلاع الاول,
"Please, select a store view",الرجاء، اختيار مظهر المتجر,
"Please, select visible in stores to this poll first",من فضلك اختر وضوحا في المخازن لهذا الاستطلاع الاول,
Poll Manager,استطلاع المدير,
Poll was successfully deleted,تم حذف الاستطلاع بنجاح,
Poll was successfully saved,تم حفظ الاستطلاع بنجاح,
Position of Watermark for %s,موقف المائي لل %s,
Preferred state,الدولة المفضل,
"Preparing to change $pkg, please wait...","تستعد للتغيير $pkg, رجاء انتظر...",
Prev. month (hold for menu),السابق. شهر (عقد لمدة القائمة),
Prev. year (hold for menu),السابق. السنة(عقد لمدة القائمة),
Preview,اعادة المشاهدة,
Preview Template,اعادة مشاهدة القالب,
Previous page,الصفحة السابقة,
Price,السعر,
Price alert subscription was saved successfully,تم حفظ تنبيه السعر المشترك بنجاح,
Price:,السعر:,
Primary Billing Address,عنوان الفاتورة الاولية,
Processed <strong>%s%% %s/%d</strong> items,معالجة  <strong>%s%% %s/%d</strong> المنتجات,
Processed <strong>%s%% %s/%d</strong> records,اجرائات <strong>%s%% %s/%d</strong> تسجيلات,
Product,منتج,
Product Thumbnail Itself,صورة مصغرة للمنتج نفسه,
Product:,المنتج:,
Products,منتجات,
Profile Action,فعل البروفايل,
Profile Actions XML,افعال البروفايل XML,
Profile Direction,اتجاه البروفايل,
Profile History,تاريخ البروفايل,
Profile Information,معلومات البروفايل,
Profile Name,اسم البروفايل,
Profile Wizard,معالج البروفايل,
Profile was deleted,تم حذف البروفايل,
Profile was successfully saved,تم حفظ البروفايل بنجاح,
Profiles,بروفيلات,
Promo,الترويج,
Promotions,الترويج,
Provided Files,تقديم ملفات,
Qty,الكمية,
Quantity,الكمية,
Queue Refresh,تحديث الرتل,
Queued... Cancel,الرتل ... إلغاء,
Radio Buttons,أزرار الخيار,
Rates,اسعار,
Rating was successfully deleted,تم حذف التسعيرة بنجاح,
Rating was successfully saved,تم حفظ التسعيرة بنجاح,
Read details,اقرأ التفاصيل,
Rebuild,إعادة بناء,
Rebuild Flat Catalog Category,إعادة بناء تطابق التصنيف بالكتالوج,
Rebuild Flat Catalog Product,إعادة بناء تطابق التصنيف بالمنتجات,
Recent Orders,الطلبات التي صدرت مؤخرا,
Recommended,اوصت,
Recursive Dir,Recursive Dir,
Redirect,اعادة توجيه,
Refresh,تحديث,
Refresh Now*,تحديث الجديد*,
Region/State,المنطقة / الولايه,
Release,تحرير,
Release Info,معلومات التحرير,
Release Stability,الافصاح عن التحرير,
Release Version,اطلاق النسخه,
Remote Extension Info,معلومات عن بعد التمديد,
Remote FTP,النائية FTP,
Remote URL:,الموقع النائي:,
Remove,ازالة,
Reports,تقريرات,
Request Path,طريق الطلب,
Required,مطلوب,
Reset,اعادة تعين,
Reset Filter,ترشيح اعادة تعين,
Resize,اعادة تحجيم,
Resource Access,دخول المصدر,
Resources,مصادر,
Results,نتائج,
Retrieve Password,استرجاع كلمة السر,
Return Html Version,العودة النسخه لغة تأشير النص الفائق,
Revenue,دخل,
Role,دور,
Role ID,رمز تعريف الدور,
Role Info,معلومات الدور,
Role Information,معلومات الدور,
Role Name,اسم الدور,
Role Resources,مصادر الدور,
Role Users,مستخدمين الدور,
Role successfully deleted.,تم حذف الدور بنجاح.,
Role successfully saved.,تم حفظ الدور بنجاح.,
Roles,ادوار,
Roles Resources,مصادر الادوار,
Rotate CCW,تدوير CCW,
Rotate CW,تدوير CW,
Run,تشغيل,
Run Profile,تشغيل البروفايل,
Run Profile In Popup,تشغيل البروفايل في التعداد,
Run Profile Inside This Window,تشغيل البروفايل داخل هذه الشاشة,
Run in popup,تشغيل التعداد,
Running... Kill,تشغيل ... إنهاء,
Running:,مشغلة:,
SKU,SKU,
SKU:,SKU:,
SSL Error: Invalid or self-signed certificate,SSL خطاء: غير صالحه او شهادة موقعة الذاتي,
Sales Report,تقرير المبيعات,
Samples,اقتراحات,
Save,حفظ,
Save & Generate,حفظ و توليد,
Save Account,حفظ الحساب,
Save And Continue Edit,حفظ و متابعة التحرير,
Save As...,حفظ كـ...,
Save Config,حفظ التشكيل,
Save Currency Rates,حفظ الاسعار الحالية,
Save PEAR Config,حفظ تشكيل ال  PEAR,
Save Profile,حفظ البروفايل,
Save Role,حفظ الدور,
Save Template,حفظ القالب,
Save User,حفظ المستخدم,
Save and Continue Editing,حفظ و متابعة التحرير,
Save cache settings,حفظ وضع الذاكرة,
Save data and Create Package,حفظ البيانات و انشاء مجموعة,
Save package with custom package file name,حفظ الحزمة مع حزمة مخصصة باسم الملف,
Schedule Merge,جدول الدمج,
Search,بحث,
Search Index,بحث المفهرس,
Search Index rebuild error. Please try again later,خطأ في إعادة بناء البحث المفهرس . الرجاء المحاولة مرة أخرى,
Search Index was rebuilt successfully,تم إعادة بناء البحث المفهرس بنجاح,
Search Term,البحث عن كلمة,
Search Terms,البحث عن كلمات,
Select,اختيار,
Select All,اختيار الجميع,
Select Category,اختر التصنيف,
Select Date,اختيار التاريخ,
Select Range,اختيار مجموعة,
Select Visible,اختيار الظهور,
Select date,اختر البيانات,
Select website from map,اختر الموقع من الخريطة,
Select website to map,اختيار الموقع للخريطة,
"Selected allow currency ""%s"" is not available in installed currencies","اختر العملة المتاحة ""%s"" ليست متاحة من العملات التي تم تنزيلها",
Selected base currency is not available in installed currencies,اخترت قاعدة العملة الغير متاحة من تنزيل العملات,
Selected default display currency is not available in allowed currencies,اخترت عرض العملة الافتراضي الغير متاح في العملات المتاحة,
Selected default display currency is not available in installed currencies,العملة المعروضة المختارة غير متوفرة مع العملات المثبتة,
Sender,مرسل,
Separate email,البريد الإلكتروني المنفصل,
بعض المنتجات في هذه الطلبية تملك فواتير وشحنات مختلفة . أنت تستطيع إنشاء شحنة فقط بعد ,شحنه #%s اضافة تعليق,
Shipment #%s created,شحنه #%s انشاء,
Shipment Comments,تعليقات الشحنه,
Shipment History,تاريخ الشحنه,
Shipment was successfully created.,تم إنشاء الشحنة بنجاح.,
Shipment was successfully sent.,الشحنة تم إرسالها بنجاح,
Shipping,الشحن,
Shipping Address,عنوان الشحن,
Shipping Price,سعر الشحنه,
Shipping address,عنوان الشحن,
Shipping address selection is not applicable,عنوان الشحنة المختارة غير مطبقة,
Shipping method must be specified,يجب تحديد طريق الشحنه,
Shipping method selection is not applicable,طريقة الشحن المختارة غير مطبقة,
Shipping origin,ترتيب الشحنه,
Shopping Cart from %s,من سلة التسوق %s,
Show Report for,يظهر تقرير الى,
Show by,يظهر بواسطة,
Show reviews,تبين الاستعراضات,
Sitemap Information,معلومات خريطة الموقع,
Size for %s,حجم الى %s,
Skip category selection,تخطي اختيار التصنيف,
Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.,بعض المنتجات في هذه الطلبية تملك فاتورة مختلفة وأنواع الشحنة . أنت تستطيع إنشاء شحنة فقط بعد إنشاء الفاتورة,
Some of the ordered items don't exist in the catalog anymore and will be removed if you try to edit the order.,بعض من العناصر المطلوبة ليست متوفرة في الكاتالوج حاليا وسوف يتم ازالتها اذا كنت تحاول تعديل الطلب.,
"Sorry, this feature is coming soon...","عذرا, هذه الميزة ستاتي قريبا...",
Sort Order,نوع الطلب,
Specific Countries,بلدان مخصصة,
Spreadsheet Name:,اسم جدول البيانات:,
Stability,الاستقرار,
Staging Store:,تدريج المتجر,
Staging Website:,تدريج الموقع,
Start Date,تاريخ البدء,
"Starting profile execution, please wait...","نبذة عن بدء التنفيذ, يرجى الانتظار...",
State/Province:,الدولة / الاقليم:,
Status,الوضع,
Status:,الوضع:,
Stock Quantity:,كمية الاسهم:,
Stock notification was saved successfully,تم حفظ تقيم الاخطار بنجاح,
Store,متجر,
Store Email Addresses Section,قسم عناوين البريد الإلكتروني للمتجر,
Store View,مشاهدة المخزن,
Store:,مخزن:,
Store:,المتجر:,
Subject,موضوع,
Submit,يرسل,
Subpackage,مجموعة فرعية,
Subpackage can't be conflicting,مجموعة فرعية لا يمكن ان تكون متعارضه,
Subpackages,مجموعات فرعية,
Subtotal,المجموع الفرعي,
Subtotal Amount,كمية المجموعة الفرعية,
Summary,خلاصة,
Summary:,خلاصة:,
Switch/Solo Only,التبديل/ المنفرد فقط,
Switch/Solo card issue number: %s,التبديل / بطاقه سولو العدد: %s,
Switch/Solo card start Date: %s/%s,التبديل / تاريخ بداية بطاقه سولو: %s/%s,
Switch/Solo/Maestro(UK Domestic) Only,التبديل / سولو / مايسترو (المملكه المتحدة المحلية) فقط,
Switch/Solo/Maestro(UK Domestic) card issue number: %s,التبديل / سولو / مايسترو (المملكه المتحدة المحلي (بطاقه العدد: %s,
Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s,التبديل / سولو / مايسترو (المملكه المتحدة المحلي (تاريخ بدء بطاقه: %s/%s,
System,نظام,
System Section,قسم النظام,
Tag was successfully deleted,تم حذف العلامة بنجاح,
Tag was successfully saved,تم حفظ العلامة بنجاح,
Tags,علامات,
Target Path,طريق الهدف,
Tax,ضريبة,
Tb,تيرا بايت,
Template,قالب,
Template Content,محتوى القالب,
Template Information,معلومات القالب,
Template Name,اسم القالب,
Template Subject,موضوع القالب,
Template Type,نوع القالب,
Temporary (302),المؤقتة (302),
Text,نص,
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","الأرشيف سيكون غير مضغوط مع <a href=""%s"">%s</a> في نظام ويندوز",
The information in this tab has been changed.,المعلومات التي توجد في علامة التبويب لقد تم تغيرها.,
This account is,هذا الحساب هو,
This account is inactive.,هذا الحساب غير مفعل.,
This attribute set don't have attributes which we can use for configurable product,هذه السمة لا تملك مجموعة الصفات التي يمكن استخدامها لتهيئة المنتج,
This attribute shares the same value in all the stores,هذه السمة الأسهم بنفس القيمه في جميع المخازن,
This is a required field.,هذا هو الحقل المطلوب.,
This product is currently disabled,هذا المنتج غير فعال حاليا,
This section is not allowed.,هذا القسم غير متاح.,
This tab contains invalid data. Please solve the problem before saving.,هذه علامة التبويب يتضمن بيانات غير صحيحة. الرجاء حل المشكلة قبل حفظ.,
This user no longer exists,هذا المستخدم لا يستطيع الدخول مره اخرى,
Thumbnail,صورة مصغره,
Time,الوقت,
Time selection:,اختيار الوقت:,
Time:,الوقت:,
To,الى,
Toggle Editor,تحرير المسمار,
Tools,ادوات,
Top 5 Search Terms,أعلى 5 مصطلحات البحث,
Total,المجموع,
Total %d records found,المجموع %d ايجاد التسجيلات,
Total Amount,مجموع الكمية,
Total Invoiced,مجموع الفاتورة,
Total Order Amount,مجموع كميات الطلبات,
Total Refunded,اجمالي الاسترداد,
Total of %d record(s) were successfully deleted,مجموع ال %d التسجيلات التي تم حذفها بنجاح,
Total of %d record(s) were successfully updated,مجموع ال  %d التسجيلات التي تم تحديثها بنجاح,
